Daily Summary
Month/Year: 12/2015
Station Location: WSFO SEATTLE SAND POINT (94290)
Lat: 47.687
Lon: -122.255
Elev: 60 ft. above sea level
WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
94290,20151201,50, ,40, ,45, , 2, ,M, ,M, ,20, , 0, ,0736, ,1620, , , ,0, ,M, ,0.0, ,0.37,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151202,52, ,41, ,47, , 5, ,M, ,M, ,18, , 0, ,0738, ,1620, , , ,0, ,M, ,0.0, ,0.05,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151203,55, ,48, ,52, ,10, ,M, ,M, ,13, , 0, ,0739, ,1619, , , ,0, ,M, ,0.0, ,0.57,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151204,52, ,44, ,48, , 6, ,M, ,M, ,17, , 0, ,0740, ,1619, , , ,0, ,M, ,0.0, ,0.15,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151205,50, ,44, ,47, , 5, ,M, ,M, ,18, , 0, ,0741, ,1618, , , ,0, ,M, ,0.0, ,0.77,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151206,55, ,46, ,51, , 9, ,M, ,M, ,14, , 0, ,0742, ,1618, , , ,0, ,M, ,0.0, ,0.65,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151207,52, ,46, ,49, , 8, ,M, ,M, ,16, , 0, ,0743, ,1618, , , ,0, ,M, ,0.0, ,0.74,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151208,58, ,49, ,54, ,13, ,M, ,M, ,11, , 0, ,0744, ,1618, , , ,0, ,M, ,0.0, ,1.51,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151209,55, ,45, ,50, , 9, ,M, ,M, ,15, , 0, ,0745, ,1618, , , ,0, ,M, ,0.0, ,0.24,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
94290,20151210,54, ,44, ,49, , 8, ,M, ,M, ,16, , 0, ,0746, ,1617, , , ,0, ,M, ,0.0, ,0.78,s,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, ,M, 
